key,band,p0,tau0,budget,evd,evj,full_vd,full_vj,zi_vd,zi_vj,clam_vd,clam_vj
72191583546025361831225777665974697708285902529660640935369192804892327952658,7.0,0.71,5.0,0.20590000000000003,0.00010000000000000018,0.04105000000000002,0.0002972337685237253,0.2068509956385099,0.00018700991389655197,0.20659400595031827,0.0002474224710112253,0.20343810692366182
72191583546025361831225777665974697708285902529660640935369192804892327952658,3.0,0.695,3.0,0.21197500000000002,0.0,0.040425000000000016,0.00017494091541123705,0.21338806138722824,0.00011674520031285502,0.21573783996387594,0.00015069738262182518,0.21224551365652936
6958226261986895321894171664134250727726877795295745054057860512934310352857,7.0,0.0735,7.0,0.06809775,0.0005555,0.0027042499999999996,0.00022104187948166515,0.11054555604868194,0.0001971446690258749,0.10042503534306611,0.00024064098462128102,0.09906067923973844
19864917728008780169589671230660157481183889222095324713973472684120112283428,7.0,0.485,6.0,0.249775,0.00020000000000000036,0.10267499999999999,0.0003186742061600989,0.2508669954639274,0.0002426604927183682,0.2507771636225797,0.0002778608413949007,0.24925219066354692
19864917728008780169589671230660157481183889222095324713973472684120112283428,3.0,0.395,3.0,0.238975,0.00020000000000000036,0.078325,0.00014791247340699494,0.2399892989588576,0.00010375068798294911,0.23893839787978127,0.0001308446796438101,0.24011639445551616
89110596788673536475065853727140488937259064164063660201050220270400840228269,14.0,0.0505,16.0,0.047949750000000006,1.2249999999999998e-05,0.0022985,0.00042926297052286907,0.08651548623276967,0.00037791355161944566,0.09128916186696763,0.0003909974257398899,0.08372720695538406
55339638397443112919791846485253629869798811464400272253569648598507361954673,30.0,0.32,30.0,0.2176,0.0015300000000000008,0.28130250000000007,0.0013842022786586488,0.22555539794482268,0.0011342521441549858,0.2339079784837417,0.0015066070714987146,0.2237971762406522
55339638397443112919791846485253629869798811464400272253569648598507361954673,14.0,0.34,14.0,0.2244,0.0005299999999999999,0.030852500000000005,0.0007048382647326363,0.2246499707626883,0.0005407252217023077,0.22902129242177655,0.000659852267812065,0.22590894403157827
55339638397443112919791846485253629869798811464400272253569648598507361954673,3.0,0.0695,3.0,0.06466975000000001,4.2249999999999895e-05,0.0030800000000000007,9.300325416839398e-05,0.09228779023119432,6.598407625729052e-05,0.0820075892567651,7.593182382531266e-05,0.08572286873136438
75303319363351541204962251598715680468515536085970822119844634963431663113508,30.0,0.545,30.0,0.247975,0.000749999999999999,0.33062499999999995,0.001660926394379773,0.25115689738458685,0.001185447313485566,0.2599718817517536,0.001627710530925996,0.25123949822170455
75303319363351541204962251598715680468515536085970822119844634963431663113508,14.0,0.545,14.0,0.247975,0.0004999999999999986,0.33062499999999995,0.0007662495218579762,0.2514433045690485,0.000542853733847406,0.26038331825895006,0.0007453881848391153,0.24618151533790034
75303319363351541204962251598715680468515536085970822119844634963431663113508,7.0,0.555,7.0,0.246975,0.00039999999999999845,0.33062499999999995,0.0003989332016617948,0.2503355986690597,0.0002837059119194777,0.24849397919030428,0.0002883106152489009,0.24800236382432225
75303319363351541204962251598715680468515536085970822119844634963431663113508,3.0,0.565,3.0,0.245775,0.00030000000000000057,0.33062499999999995,0.00015413465347537922,0.24701584548781302,0.00011126982789795701,0.24516045197297665,0.0001293312335441336,0.2460538985112672
62000346111572597102265747490421944564476171086740885936101329972434114903479,7.0,0.515,6.0,0.249775,0.0003250000000000006,0.26655,0.00032466213350429077,0.2523022958881523,0.000203102758107263,0.250601143993104,0.00029593731513360305,0.24921427257190715
